zip_code	value
94915	300
94803	0
94974	120
95965	60
95032	0
94132	0
95624	60
94964	98
94561	0
95404	0
94912	68
94939	72
94976	60
94977	64
94970	125
94971	55
94972	45
94973	54
94930	76
unknown	30
94110	60
94933	79
94978	38
94979	30
94937	79
93446	0
17403	60
94956	58
94957	64
94954	0
94940	91
94952	62
94950	104
94951	420
76483	30
94938	66
94998	40
94999	60
95476	0
94913	24
94102	0
94963	71
95925	0
93921	0
93905	0
94961	100
94129	120
94901	68
94903	64
94946	69
94904	70
94929	74
85140	60
94925	64
94924	67
94805	60
94920	68
11111	60
94914	92
94949	59
94948	42
94945	67
94947	58
94960	67
94941	72
94966	110
94965	70
94942	79
